serial_number,year,month,day,facility_id,facility_name,facility_zip,score,grade,service_description,category,size,riskLevel,owner_id,owner_name
DA0YVZX4N,2017,12,26,FA0251260,THE HARVEST BAR 2,90045-3554,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0245216,THE HARVEST BAR 2 LLC
DAZYILHB0,2017,12,26,FA0251975,KABAN PERSIAN RESTAURANT,90068,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0245825,KABAN PERSIAN RESTAURANT INC
DA1021441,2017,12,26,FA0073897,WESTIN LAKEVIEW BISTRO,90071,94,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,LOW RISK,OW0016394,HOTEL BONAVENTURE LTD PARTNE
DALBTT7TY,2017,12,26,FA0250622,ADMIRALS CLUB,90045,91,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,MODERATE RISK,OW0125020,"AMERICAN AIRLINES, INC."
DAIK3NSRW,2017,12,26,FA0051908,THE FAT DOG,90046,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0018159,"JUNIRO II, LLC"
DAASF144C,2017,12,26,FA0240650,ANGELINI ALIMENTARI,90036,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0236707,"RADDUSA, LLC"
DAYUCFQGE,2017,12,26,FA0242413,CAFE SOLAR KITCHEN,90045,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0238034,ORB TERTIUS LLC
DATE08FFO,2017,12,26,FA0138425,CORAL FISH,90048,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0101781,"KIM, KENNETH"
DAFVSL2SV,2017,12,22,FA0074230,YANUSA SUSHI RESTAURANT,90006,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0040260,"ZHAO, DONG"
DALH63AG8,2017,12,22,FA0064452,JOLLIBEE,90041,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0016228,HONEYBEE FOODS CORPORATION
DAHYKBGAP,2017,12,22,FA0023400,MALIBU FISH GRILL,90046,95,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0023052,MALIBU FISH GRILL S. INC.
DANOWYSW5,2017,12,22,FA0052354,THE VEGGIE GRILL,90046,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0004527,BETTER EATING COCEPTS LLC
DASLMCMS8,2017,12,22,FA0252603,ASHLAND BAR EARTH BAR / PANDA EXPRESS ASHLAND HILL,90045,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0246305,AREAS CREWS LAX JV LLC
DANA1RHJI,2017,12,22,FA0013002,CARL'S JR,90024,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0006172,CARL KARCHER ENTERPRISES INC
DAQNTU37S,2017,12,22,FA0252603,ASHLAND BAR EARTH BAR / PANDA EXPRESS ASHLAND HILL,90045,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0246305,AREAS CREWS LAX JV LLC
DAJNKHBF0,2017,12,22,FA0175698,KIKKA SUSHI,90024,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0017151,"ITO, INC."
DA0CMZPZN,2017,12,22,FA0028666,PIZZA HUT #26158,90008,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC
DAHNYHYZP,2017,12,21,FA0158349,EL CONDOR,90026,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0123419,LA CONQ LLC
DAPQQTX50,2017,12,21,FA0014694,MICROSOFT THEATER,90015,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DAEFDZ0IT,2017,12,21,FA0225491,MILLI'S CAFE,90026,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0229751,"MILLIE'S RESTAURANT CAFE, INC."
DAURIRPNP,2017,12,21,FA0014694,MICROSOFT THEATER,90015,99,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DABIXMYNT,2017,12,21,FA0014694,MICROSOFT THEATER,90015,98,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DADRBNEQY,2017,12,21,FA0162857,BEUL,90020,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0126551,CH WILSHIRE INTERNATIONAL INC
DAZVMHHYM,2017,12,21,FA0027548,HANNAM CHAIN SUPERMARKET,90006,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0014757,"HANNAM CHAIN USA, INC"
DACLR09EL,2017,12,21,FA0138436,BORDER GRILL,90045,78,C,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0016382,HOST INTERNATIONAL INC
DAXP014KP,2017,12,21,FA0015849,CLIFFS,90026,94,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0008362,CLIFFS LLC
DAM75VRIA,2017,12,21,FA0240884,WH POKE BAR INC.,91367,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0236903,WH POKE BAR INC.
DAZLMVRWZ,2017,12,21,FA0014694,MICROSOFT THEATER,90015,96,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DASHGUVYC,2017,12,21,FA0221401,JAM,90020,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0226498,Y & K ENTERTAINMENT CORPORATION
DACFSHGZR,2017,12,21,FA0179170,JAMBA JUICE #527,90039,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0182303,"FRESH JUICE DEVELOPMENT, LLC"
DARTCKXTK,2017,12,21,FA0043733,PANDA EXPRESS #1212,90028,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0027458,PANDA EXPRESS INC.
DAKFDWJER,2017,12,21,FA0171318,MARISCOS EL CAMARON PELADO RESTAURANT,90031,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0178408,HUGO ERNESTO LEON SANCHEZ
DACUVRYGS,2017,12,21,FA0024042,FRESH AND MEATY BURGERS,90043,95,A,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0016321,"HOOD, WILLIE"
DAUNNA50K,2017,12,21,FA0014694,MICROSOFT THEATER,90015,100,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DA7HOHASZ,2017,12,21,FA0252544,HAYATO,90021,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0246301,"HAYATO RESTAURANT, INC."
DATYPM02Q,2017,12,21,FA0138168,INK SACK,90045,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0016382,HOST INTERNATIONAL INC
DAKAUQZZ2,2017,12,21,FA0066966,MILLIE'S COFFEE SHOP,90026,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0003629,"BABISH, IVETTE"
DAGTIKCEG,2017,12,21,FA0163593,ANDANTE COFFEE ROASTERS,90026,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0127190,STEVE S HYUN
DAB04V01T,2017,12,21,FA0174885,LA AZTECA TORTILLERIA & RESTAURANT,90022,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0181495,LA TORTILLERIA Y RESTAURANTE CORP
DA8YBTJ72,2017,12,21,FA0014694,MICROSOFT THEATER,90015,98,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DABGNAHWO,2017,12,21,FA0051659,THE PORTER JUNCTION CAFE,90021,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0022144,"LOPEZ, ANNETTE E."
DAV6PPDZJ,2017,12,21,FA0203403,RESTAURANTE EL QUETZALITO,90037,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0208598,RICARDO RAMOS
DA6GK39GZ,2016,1,6,FA0063073,GUSHI,90024,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0032675,"SHIN, TOM"
DASUPSY7E,2017,12,21,FA0252554,CARLS JR #212,90023,98,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0242903,"PALISADES RESTAURANT GROUP, INC."
DAHR2ZC1P,2017,12,21,FA0014694,MICROSOFT THEATER,90015,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DAGZWY0LU,2017,12,21,FA0014694,MICROSOFT THEATER,90015,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DAKIJM35U,2017,12,21,FA0071216,SUBWAY #12484,90045,97,A,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0181657,"LSBC, LLC"
DABDR0OYT,2017,12,21,FA0203689,DONUT FARM,90026,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0208835,"PEEPPLES DONUTS, INC"
DAKCMAI9A,2017,12,21,FA0252655,PUPUSERIA CUSCATLAN,90001-1002,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0036249,MARIA EUGENIA TORRES
DAVEJ0PMF,2017,12,21,FA0223963,SAWYER,90026,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0228539,3705 GROUP LLC
DASEMQJI9,2017,12,21,FA0014694,MICROSOFT THEATER,90015,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DAFHKYMFW,2017,12,21,FA0014694,MICROSOFT THEATER,90015,100,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DALHSAIR8,2017,12,21,FA0240951,AHIPOKI BOWL,90028,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0208493,AHI MAHI ENTERPRISE LLC
DAIY2DC2J,2017,12,21,FA0240999,COGNOSCENTI COFFEE,90015,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0236998,COGDTLA
DANMRMV0T,2017,12,21,FA0064805,HANNAM CHAIN SNACK BAR,90006,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0014757,"HANNAM CHAIN USA, INC"
DALMQLH5F,2017,12,21,FA0029682,HUNGRY HAROLD'S,90043,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0007987,"CHUN, JOON HO0 ET AL"
DA0GTCDC3,2017,12,21,FA0067524,NEW ORLEANS FISH MARKET,90008,92,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0012691,"GANIER,BERNARD"
DA0ZUVLUL,2017,12,21,FA0223963,SAWYER,90026,94,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0228539,3705 GROUP LLC
DA803CB0H,2017,12,21,FA0064428,JOHN SERVICE STATION,90061,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0017833,JOHN SERVICE STATION INC
DAONAT6QW,2017,12,21,FA0014694,MICROSOFT THEATER,90015,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP
DAUURUF20,2017,12,21,FA0138750,PEKING DUMPLING,90006,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0102062,XIANSHU SHEN
DA1BT9SZM,2017,12,21,FA0242945,MYUNG GA JJAM BONG,90005,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0238473,JIN'S STONE INC
DANS383SH,2017,12,21,FA0029659,HUBERT'S LIQUOR STORE,90008,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0039863,"YOON, SOON N"
DAKBEDD2D,2017,12,20,FA0041761,YOSHINOYA #1147,90010,97,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0101581,"YOSHINOYA AMERICA, INC."
DADV9AH0H,2017,12,20,FA0249802,"THIRTEEN SINCE 2017, INC.",90057-3860,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0244011,"THIRTEEN SINCE 2017, INC."
DALR07NQA,2017,12,20,FA0023835,MARISCOS EL JATO,90033,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0029500,RAMIREZ LUIS G
DADXH0SGN,2017,12,20,FA0142720,THE ORCHARD,90064-1549,95,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0105348,"GUCKENHEIMER SERVICES, LLC."
DAF8ZK4W6,2017,12,20,FA0160528,MASHTI ICE CREAM,90028,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0125489,FROZEN DELICACY
DABQDZEEQ,2017,12,20,FA0043443,PACIFIC DINING CAR,90017,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0027150,PACIFIC DINING CAR INC
DAPEXG4Q0,2017,12,20,FA0036007,TACO BELL #3141,90044,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0027407,PALO VERDE INC
DAMJF6NJH,2017,12,20,FA0160121,LE BALCON BAKERY,90028,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0125103,"LE BALCON BAKERY, INC"
DAROW5OCP,2017,12,20,FA0062176,FOOD 4 LESS #362,90027,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0012108,"FOOD 4 LESS, INC."
DA3LBPUVS,2017,12,20,FA0066627,MAYTES JUGOS & RASPADOS,90023,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0029489,RAMIREZ TERESA
DASF3F0JN,2017,12,20,FA0172045,JASON'S ON BROADWAY,90015,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",MODERATE RISK,OW0179097,PAS GROUP INC
DAMBAONE6,2017,12,20,FA0071199,SUBWAY #1763,90010,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0008464,"COHAN-HEDYOOD, BEHZAD"
DA02BEDAL,2017,12,20,FA0063833,IHOP #782,90045,92,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0002172,ALISAL VENTURES LLC
DA5Y2L64H,2017,12,20,FA0247996,HONG KONG RESTAURANT,90022-3927,73,C,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0242504,HUIJUAN ZHANG
DAYFF0PYV,2017,12,20,FA0238802,LEO'S MARKET,90061,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0235224,JONATHAN GOMEZ
DAIM7CJQ0,2017,12,20,FA0044161,PIZZA HUT #26178,90010,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC
DADTOMBLD,2017,12,20,FA0008028,BAMBO GARDEN,90044,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0020860,"LAU, JACK"
DAHD6ROBM,2017,12,20,FA0245976,BASIC,90005,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0240935,"JUSTIN WILSHIRE, INC"
DAP185YSI,2017,12,20,FA0242973,SABORES DEL PERU,90015-2392,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0238493,CESAR C MALPARTIDA
DAA0YMQZV,2017,12,20,FA0070692,SONSONATE GRILL,90062,85,B,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0020563,"LAGUARDIA ENTERPRISES, INC"
DALYQOU8D,2017,12,20,FA0144652,OPERA HOUSE BAKERY,90005,83,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0107439,"OMG CODE, INC"
DAARBF28C,2017,12,20,FA0252436,COCO FRESH TEA AND JUICE,90020-2556,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0246208,TCJP LLC
DA0RHRKRG,2017,12,20,FA0057346,ALVAREZ BAKERY,90063,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0002358,ALVAREZ MARIA G
DA64GDSKG,2017,12,20,FA0171512,CEMITAS POBLANAS MI MAGDALENA RESTAURANT #2,90063-3153,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0178587,DEYSI FLORES-MOTA
DALGATOHP,2017,12,20,FA0061566,EL PUEBLO PRODUCE MARKET,90062,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0006469,"CASTANON, LUCI E."
DAO8R8JKI,2017,12,20,FA0046962,SAN SALVADOR,90006,92,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0030481,"RODRIGUEZ, ANA MARIA"
DAFCROSWF,2017,12,20,FA0238799,THE RAMEN JOINT,90045,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0235221,JK RAMEN LLC
DANSEO1RK,2017,12,20,FA0245639,PAPER TIGER,90004,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0240647,MILD ROAR PARTNERS
DA5VXLWCC,2017,12,20,FA0072711,TOMMY TACO,90024,91,A,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,0-30 SEATS,HIGH RISK,OW0001916,AJA INC
DAGSZNEZ4,2017,12,20,FA0005628,BIG MAMA'S DONUTS,90042,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0035878,"THONG, PETER"
DAHMIUKKJ,2017,12,20,FA0173634,NOLD'S LIQUOR,90061-2019,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0180391,BYUNG YUL HAN
DAWGNI08F,2017,12,20,FA0035292,SUPER A FOODS,90065,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0034451,SUPER A FOODS INC
DALLPIWBS,2017,12,20,FA0023438,FOOD 4 LESS #777,90047,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0012108,"FOOD 4 LESS, INC."
DAWXFWJ06,2017,12,20,FA0010408,BONAVENTURE BREWING CO REST,90017,94,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0004998,BONAVENTURE BREWING CO REST
DAYJWYFA0,2017,12,20,FA0245635,TACOSWAY,90046,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0240644,TACOSWAY SUNSET
DAV7QAW0N,2017,12,20,FA0067837,OCHA RESTAURANT,90027,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0038430,WANGPHOKA KHEMWADEE B
DAFG779FQ,2017,12,20,FA0240745,A PLACE CALLED HOME,90011,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0236786,A PLACE CALLED HOME
DAVUJ1ZSA,2017,12,20,FA0170095,SAN JUAN HUCTZINCO PANADERIA Y PIZZERIA,90063-2717,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0133059,JUAN MIGUEL HERNANDEZ
DAREKISOX,2017,12,20,FA0252162,POLLO CAMPERO,90047,97,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0245983,"POLLO CAMPERO OF CALIFORNIA, LLC."
DA4FLYOPX,2017,12,20,FA0151034,HOTEL NORMANDIE,90005-2621,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0116766,NORMANDIE HOTEL LA LLC
DAR7QC80T,2017,12,20,FA0151034,HOTEL NORMANDIE,90005-2621,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0116766,NORMANDIE HOTEL LA LLC
DA6JXZBBN,2017,12,20,FA0009424,CLIFTON'S CAFETERIA,90014,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0008368,CLINTONS RESTAURANTS INC
DAAUHIJUY,2017,12,20,FA0042723,SEXY NUTRITION,90046,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0025149,"MOSSAWI, HUSSEIN MOHAMAD"
DAEU0QTSJ,2017,12,20,FA0046881,SAN PEDRO DISCOUNT MARKET,90061,99,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0030335,ROB AMINA KATOON
DAIQ260YU,2017,12,20,FA0163902,VENA MARKET,90034,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0127423,KULWINDER SINGH
DAM991DIR,2017,12,20,FA0031810,JOAN'S ON THIRD'S MARKET,90048,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0012109,FOOD AND COMPANY INC
DAOY5DJL2,2017,12,20,FA0039431,VAN BAKERY,90027,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0039643,"YETARYAN, VARDAN"
DAD7ZVS6J,2017,12,20,FA0026350,GOURMENT LA BAKERY,90013,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0013851,GOURMET LA BAKERY INC
DAKWPAWJU,2017,12,20,FA0252756,KAI RAMEN,90048,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0246449,KAI RAMEN DINING INC.
DAZ3MDYCL,2017,12,20,FA0249594,SHARKY'S WOODFIRED MEXICAN GRILL,90028-5102,95,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0243825,"FRESH OPPORTUNITIES, INC"
DA6OEFEKO,2017,12,20,FA0252108,REYNAS PUPUSERIA #3,90044,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0245942,REINA M. OLIVARRIA
DAYKZFSDR,2017,12,20,FA0222124,MAHI MAHI,90028-6424,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0227032,"MAHI MAHI SEAFOOD SUNSET, INC"
DAWMTUXPU,2017,12,20,FA0164341,CURRY HOUSE COCOICHIBANYA,90020,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0016834,"ICHIBANYA USA, INC."
DAWVEJB0H,2017,12,20,FA0252531,LOUISIANA FRIED CHICKEN #4050,90008,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0246290,LONG KUY LIM
DAYDVR0GB,2017,12,20,FA0051821,THE VILLAGE IDIOT,90046,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0036741,"TVI INTERPRISES, LLC"
DANR0QM11,2017,12,20,FA0225511,TOKYO HAMBURG,90005,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0229768,HEEMIN HER
DAKMJM3IE,2017,12,20,FA0252762,AL BASCH CHICKEN,90046,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0246455,AL BASCH INC
DAS3DYS3A,2017,12,20,FA0047920,SKAI CAFE,90006,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0009364,"DALLAE GROUP, INC."
DAOYDL5IB,2017,12,20,FA0224718,D ADDICTION,90006,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0229233,Y. CREW INC
DAXGCRZK1,2017,12,20,FA0062176,FOOD 4 LESS #362,90027,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0012108,"FOOD 4 LESS, INC."
DA7VTUYNG,2017,12,20,FA0222380,KITCHEN SOODA,90005,95,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0227232,SANGHEE HAN
DAQTLAPZF,2017,12,20,FA0160140,NAM KOONG,90005-2902,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0125121,NAM KOONG CORPORATION
DAYXA09R4,2017,12,20,FA0017333,HAPPY NOODLE,90005,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0017554,JENSEN CORPORATION
DAY80JNRG,2017,12,20,FA0073896,WESTIN BONAVENTURE LA PRIME,90071,95,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0016394,HOTEL BONAVENTURE LTD PARTNE
DA2DK0YUJ,2017,12,20,FA0048628,SKY'S TACOS,90019,97,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0005511,BURRELL BARBARA
DA87RVU2I,2017,12,20,FA0224426,HERE'S LOOKING AT YOU,90020,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0228900,"CURRENT MOOD GROUP, L.P."
DAZQQU9GD,2017,12,20,FA0033476,LA MORENITA LUNCH BOR,90023,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0031557,"SANCHEZ, ANA"
DAY5GK0OO,2017,12,20,FA0023438,FOOD 4 LESS #777,90047,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0012108,"FOOD 4 LESS, INC."
DACVN7NQI,2017,12,20,FA0138400,SHERATON HOTEL,90045,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0101759,HAZENS INVESTMENT LLC
